Key,Id,Chinese (Simplified)(zh),English(en),Indonesian(id)
"Modifier.Alcoholism.Title",860232032256,"酒精","Alcohol","Alkohol"
"Modifier.Alcoholism.Description",1118366277632,"你的酒精含量.","Determines how sober you are.","Seberapa sober/mabuk-nya anda."
"Modifier.ArmorRating.Title",8308166696960,"装甲等级","Armor Rating","Nilai Pelindungan"
"Modifier.ArmorRating.Description
",8508922863616,"决定了你的抵抗力。","Determines how resistant your body against any attacks.","Seberapa kuatnya anda dari segala serangan."
"Modifier.BonusGun.Title",14088068603904,"奖金火器损害","Bonus Gun Damage","Bonus Damage Senjata"
"Modifier.BonusGun.Description",14153277448192,"更高火器损害.","Increase damage dealt by any gun weapons.","Menaikan damage oleh senjata api."
"Modifier.BonusMelee.Title",15468359524352,"奖金混战损害","Bonus Melee Damage","Bonus Damage Pukulan"
"Modifier.BonusMelee.Description",15472042123264,"更高混战损害.","Increase damage dealt by using melee attacks.","Menaikan damage oleh pukulan."
"Modifier.DashCooldown.Title",16183920369664,"短跑时间","Dash Cooldown","Waktu Dash"
"Modifier.DashCooldown.Description",16187691048960,"短跑时间.","Determines how long to recharge dash after use.","Seberapa lama dash bisa digunakan lagi setelah dipakai."
"Modifier.Digestion.Title",17144613117952,"消化","Digestion","Pencernaan"
"Modifier.Digestion.Description",17148643844096,"确定消耗品的治疗速度，例如：150% 意味着你的治疗速度将加快 x1.5。","Determines how fast you heal by consumables, example: 150% means you'll heal x1.5 faster.","Seberapa cepat kamu healing setelah makan. Contoh: 150% artinya kamu heal lebih cepat."
"Modifier.MaxHP.Title",18116311719936,"最大限度 HP","Max HP","Max HP"
"Modifier.MaxHP.Description",18118283042816,"最大生命值。更高的生命值意味着你能活得更久.","Maximum amount of hit points. Higher hitpoints means you'll survive longer.","Maksimum hitpoint anda. Semakin tinggi HP anda, semakin anda bisa hidup lama."
"Modifier.RegenHP.Title",18586426089472,"再生 HP","Regen HP","Regen HP"
"Modifier.RegenHP.Description",18743456636928,"治愈每一秒。","Determines your health regeneration per second.","Seberapa anda healing sendiri per detik."
"Modifier.Discount Shortcut.Title",22407885824000,"折扣捷径","Discount Shortcut","Diskon Jalan Pintas"
"Modifier.Discount Shortcut.Description",22412021407744,"折扣捷径.","Discount for subway train shortcut.","Diskon untuk menggunakan jalan pintas menggunakan kereta bawah tanah."
"Modifier.SoulBonus.Title",24654678007808,,"Soul Bonus","Bonus Nyawa"
"Modifier.SoulBonus.Description",24658297692160,,"Increases your soul bonus reward when killing enemies or doing side activities.","Menaikan chance anda mendapatkan nyawa ketika membunuh musuh atau aktivitas sampingan."
